cityName,provinceName,weatherDate,weatherStatus,weatherTemperature,weatherWind
北京,北京,2011-02-21,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-22,雾/多云,9℃/0℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-23,多云/晴,9℃/3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-24,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-25,晴/雨夹雪,7℃/-1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-26,小雪/小雪,2℃/-3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-27,小雪/阴,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-02-28,晴/晴,6℃/-4℃,无持续风向≤3级/北风3-4级
北京,北京,2011-03-01,多云/晴,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-02,晴/晴,6℃/-2℃,无持续风向≤3级/北风3-4级
北京,北京,2011-03-03,晴/晴,9℃/-4℃,北风3-4级/无持续风向≤3级
北京,北京,2011-03-04,晴/多云,11℃/0℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-05,晴/晴,13℃/1℃,无持续风向≤3级/北风3-4级
北京,北京,2011-03-06,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
北京,北京,2011-03-07,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
北京,北京,2011-03-08,晴/晴,10℃/-1℃,北风3-4级/北风3-4级
北京,北京,2011-03-09,晴/晴,11℃/-1℃,北风3-4级/无持续风向≤3级
北京,北京,2011-03-10,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-11,多云/晴,17℃/3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-12,晴/阴,19℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-13,多云/晴,17℃/3℃,北风4-5级/北风4-5级
北京,北京,2011-03-14,多云/多云,9℃/1℃,北风3-4级/北风3-4级
北京,北京,2011-03-15,晴/晴,9℃/-2℃,北风4-5级/北风3-4级
北京,北京,2011-03-16,晴/晴,13℃/0℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-17,晴/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-18,多云/晴,14℃/0℃,北风4-5级/北风3-4级
北京,北京,2011-03-19,多云/多云,13℃/3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-20,阴/阴,11℃/3℃,无持续风向≤3级/北风4-5级
北京,北京,2011-03-21,多云/晴,8℃/-1℃,北风4-5级/北风3-4级
北京,北京,2011-03-22,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-23,晴/阴,11℃/1℃,北风3-4级/北风4-5级
北京,北京,2011-03-24,晴/晴,12℃/0℃,北风4-5级/无持续风向≤3级
北京,北京,2011-03-25,晴/晴,12℃/1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-26,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-27,晴/多云,16℃/2℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-28,晴/晴,17℃/4℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-29,晴/晴,19℃/4℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-30,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-03-31,多云/小雨,22℃/7℃,无持续风向≤3级/东北风3-4级
北京,北京,2011-04-01,小雨/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-02,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-03,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-04,晴/晴,20℃/5℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-05,多云/阴,19℃/9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-06,阴/多云,19℃/8℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-07,多云/晴,19℃/5℃,北风3-4级/北风3-4级
北京,北京,2011-04-08,晴/多云,20℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-09,阴/小雨,21℃/11℃,无持续风向≤3级/北风3-4级
北京,北京,2011-04-10,阴/晴,16℃/4℃,北风3-4级/无持续风向≤3级
北京,北京,2011-04-11,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-12,晴/晴,26℃/9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-13,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-14,晴/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-15,晴/晴,25℃/8℃,北风3-4级/无持续风向≤3级
北京,北京,2011-04-16,晴/浮尘,25℃/14℃,西南风3-4级/北风3-4级
北京,北京,2011-04-17,晴/晴,19℃/9℃,北风5-6级/北风4-5级
北京,北京,2011-04-18,晴/晴,21℃/8℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-19,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-20,多云/小雨,25℃/14℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-21,小雨/晴,17℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-22,阴/阴,20℃/8℃,北风3-4级/无持续风向≤3级
北京,北京,2011-04-23,阵雨/晴,18℃/9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-24,晴/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-25,阴/阵雨,18℃/9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-26,阵雨/晴,17℃/8℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-27,阴/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-28,晴/阴,24℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-04-29,阵雨/阵雨,22℃/12℃,无持续风向≤3级/北风3-4级
北京,北京,2011-04-30,阴/多云,21℃/13℃,北风5-6级/北风4-5级
北京,北京,2011-05-01,晴/多云,25℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-02,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-03,晴/小雨,24℃/14℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-04,阵雨/阵雨,19℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-05,多云/晴,23℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-06,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-07,晴/阴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-08,中雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-09,多云/阴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-10,晴/多云,26℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-11,多云/浮尘,28℃/12℃,北风3-4级/北风5-6级
北京,北京,2011-05-12,晴/晴,23℃/13℃,北风5-6级/北风4-5级
北京,北京,2011-05-13,晴/晴,27℃/15℃,北风3-4级/北风4-5级
北京,北京,2011-05-14,晴/多云,30℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-15,多云/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-16,晴/晴,28℃/14℃,南风3-4级/无持续风向≤3级
北京,北京,2011-05-17,阴/阴,29℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-18,雷阵雨/阴,31℃/17℃,无持续风向≤3级/北风4-5级
北京,北京,2011-05-19,晴/阴,25℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-20,多云/多云,23℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-21,晴/晴,26℃/12℃,北风3-4级/无持续风向≤3级
北京,北京,2011-05-22,晴/晴,29℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-23,晴/晴,31℃/16℃,南风3-4级/无持续风向≤3级
北京,北京,2011-05-24,晴/多云,28℃/18℃,南风3-4级/无持续风向≤3级
北京,北京,2011-05-25,多云/多云,27℃/18℃,南风3-4级/无持续风向≤3级
北京,北京,2011-05-26,阵雨/阵雨,28℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-27,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-28,晴/多云,33℃/21℃,南风3-4级/无持续风向≤3级
北京,北京,2011-05-29,雷阵雨/雷阵雨,28℃/17℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-30,多云/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-05-31,多云/多云,29℃/18℃,北风3-4级/无持续风向≤3级
北京,北京,2011-06-01,晴/晴,32℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-02,多云/阴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-03,晴/晴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-04,多云/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-05,阴/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-06,雷阵雨/多云,33℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-07,多云/雷阵雨,36℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-08,多云/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-09,多云/多云,34℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-10,雷阵雨/雷阵雨,31℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-11,雷阵雨/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-12,晴/晴,35℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-13,晴/多云,35℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-14,多云/多云,33℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-15,雷阵雨/中雨,32℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-16,雷阵雨/雷阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-17,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-18,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-19,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-20,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-21,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-22,阵雨/阵雨,32℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-23,中雨/大雨,28℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-24,阵雨/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-25,多云/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-26,晴/多云,32℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-27,多云/阴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-28,晴/晴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-29,晴/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-06-30,雷阵雨/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-01,中到大雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-02,中雨/阴,28℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-03,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-04,晴/阴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-05,阴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-06,阴/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-07,雷阵雨/阴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-08,多云/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-09,晴/多云,35℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-10,阵雨/阴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-11,多云/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-12,雷阵雨/雷阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-13,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-14,雷阵雨/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-15,雷阵雨/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-16,多云/雷阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-17,小到中雨/中雨,30℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-18,雷阵雨/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-19,雷阵雨/小到中雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-20,小到中雨/雷阵雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-21,雷阵雨/雷阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-22,雷阵雨/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-23,雾/雾,34℃/26℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-24,大雨/暴雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-25,小雨/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-26,晴/雷阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-27,多云/阴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-28,多云/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-29,大雨/中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-30,阴/多云,33℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-07-31,晴/多云,35℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-01,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-02,多云/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-03,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-04,晴/晴,33℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-05,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-06,雷阵雨/阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-07,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-08,多云/晴,34℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-09,雷阵雨/雷阵雨,35℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-10,阴/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-11,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-12,多云/晴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-13,阴/阴,33℃/24℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-14,小到中雨/大到暴雨,30℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-15,中雨/小到中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-16,阴/晴,32℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-17,雷阵雨/阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-18,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-19,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-20,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-21,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-22,晴/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-23,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-24,多云/雷阵雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-25,阵雨/阵雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-26,雷阵雨/雷阵雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-27,雷阵雨/阴,28℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-28,多云/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-29,晴/多云,32℃/21℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-30,晴/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-08-31,雷阵雨/中雨,31℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-01,多云/晴,28℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-02,多云/晴,29℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-03,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-04,晴/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-05,晴/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-06,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-07,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-08,多云/阵雨,24℃/17℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-09,多云/小雨,24℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-10,小雨/阴,19℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-11,多云/多云,25℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-12,阴/阴,24℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-13,多云/雾,24℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-14,多云/多云,24℃/18℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-15,多云/阵雨,25℃/17℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-16,小雨/阵雨,21℃/14℃,无持续风向≤3级/北风3-4级
北京,北京,2011-09-17,阴/晴,20℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-18,晴/多云,21℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-19,晴/晴,22℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-20,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-21,晴/晴,27℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-22,晴/晴,28℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-23,晴/晴,28℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-24,晴/晴,28℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-25,晴/晴,27℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-26,晴/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-27,多云/多云,25℃/17℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-09-28,小雨/多云,22℃/16℃,无持续风向≤3级/北风3-4级
北京,北京,2011-09-29,晴/晴,22℃/11℃,北风3-4级/无持续风向≤3级
北京,北京,2011-09-30,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-01,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-02,晴/晴,21℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-03,晴/晴,21℃/8℃,无持续风向微风/无持续风向微风
北京,北京,2011-10-04,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-05,晴/晴,25℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-06,晴/晴,24℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-07,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-08,多云/多云,24℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-09,多云/雾,23℃/15℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-10,晴/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-11,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-12,阴/小到中雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-13,阵雨/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-14,多云/多云,19℃/10℃,北风3-4级/北风3-4级
北京,北京,2011-10-15,晴/晴,20℃/10℃,北风4-5级/北风3-4级
北京,北京,2011-10-16,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-17,晴/晴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-18,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-19,多云/多云,19℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-20,雾/雾,20℃/12℃,无持续风向≤3级/无持续风向≤3级
北京,北京,2011-10-21,雾/雾,17℃/11℃,无持续风向≤3级/无持续风向≤3级
